ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000174231,True,Frontal Lobe,Fisher_et_al
ENSG00000114302,True,Frontal Lobe,Fisher_et_al
ENSG00000114742,True,Frontal Lobe,Fisher_et_al
ENSG00000153066,True,Frontal Lobe,Fisher_et_al
ENSG00000099942,True,Frontal Lobe,Fisher_et_al
ENSG00000086475,True,Frontal Lobe,Fisher_et_al
ENSG00000131374,True,Frontal Lobe,Fisher_et_al
ENSG00000144028,True,Frontal Lobe,Fisher_et_al
ENSG00000169762,True,Frontal Lobe,Fisher_et_al
ENSG00000163069,True,Frontal Lobe,Fisher_et_al
ENSG00000114982,True,Frontal Lobe,Fisher_et_al
ENSG00000126773,True,Frontal Lobe,Fisher_et_al
ENSG00000257103,True,Frontal Lobe,Fisher_et_al
ENSG00000145388,True,Frontal Lobe,Fisher_et_al
ENSG00000163104,True,Frontal Lobe,Fisher_et_al
ENSG00000181704,True,Frontal Lobe,Fisher_et_al
ENSG00000168172,True,Frontal Lobe,Fisher_et_al
ENSG00000164463,True,Frontal Lobe,Fisher_et_al
ENSG00000121864,True,Frontal Lobe,Fisher_et_al
ENSG00000167193,True,Frontal Lobe,Fisher_et_al
ENSG00000113384,True,Frontal Lobe,Fisher_et_al
ENSG00000204120,True,Frontal Lobe,Fisher_et_al
ENSG00000107897,True,Frontal Lobe,Fisher_et_al
ENSG00000126746,True,Frontal Lobe,Fisher_et_al
ENSG00000170558,True,Frontal Lobe,Fisher_et_al
ENSG00000124789,True,Frontal Lobe,Fisher_et_al
ENSG00000107290,True,Frontal Lobe,Fisher_et_al
ENSG00000174839,True,Frontal Lobe,Fisher_et_al
ENSG00000151239,True,Frontal Lobe,Fisher_et_al
ENSG00000135316,True,Frontal Lobe,Fisher_et_al
ENSG00000102921,True,Frontal Lobe,Fisher_et_al
ENSG00000009954,True,Frontal Lobe,Fisher_et_al
ENSG00000120616,True,Frontal Lobe,Fisher_et_al
ENSG00000138802,True,Frontal Lobe,Fisher_et_al
ENSG00000078403,True,Frontal Lobe,Fisher_et_al
ENSG00000090905,True,Frontal Lobe,Fisher_et_al
ENSG00000123411,True,Frontal Lobe,Fisher_et_al
ENSG00000135093,True,Frontal Lobe,Fisher_et_al
ENSG00000171681,True,Frontal Lobe,Fisher_et_al
ENSG00000139651,True,Frontal Lobe,Fisher_et_al
ENSG00000173120,True,Frontal Lobe,Fisher_et_al
ENSG00000121892,True,Frontal Lobe,Fisher_et_al
ENSG00000134046,True,Frontal Lobe,Fisher_et_al
ENSG00000130396,True,Frontal Lobe,Fisher_et_al
ENSG00000131375,True,Frontal Lobe,Fisher_et_al
ENSG00000163939,True,Frontal Lobe,Fisher_et_al
ENSG00000084073,True,Frontal Lobe,Fisher_et_al
ENSG00000213096,True,Frontal Lobe,Fisher_et_al
ENSG00000162434,True,Frontal Lobe,Fisher_et_al
ENSG00000124201,True,Frontal Lobe,Fisher_et_al
ENSG00000120733,True,Frontal Lobe,Fisher_et_al
ENSG00000101745,True,Frontal Lobe,Fisher_et_al
ENSG00000134698,True,Frontal Lobe,Fisher_et_al
ENSG00000168214,True,Frontal Lobe,Fisher_et_al
ENSG00000186566,True,Frontal Lobe,Fisher_et_al
ENSG00000136940,True,Frontal Lobe,Fisher_et_al
ENSG00000118482,True,Frontal Lobe,Fisher_et_al
ENSG00000171988,True,Frontal Lobe,Fisher_et_al
ENSG00000198561,True,Frontal Lobe,Fisher_et_al
ENSG00000165494,True,Frontal Lobe,Fisher_et_al
ENSG00000180628,True,Frontal Lobe,Fisher_et_al
ENSG00000083223,True,Frontal Lobe,Fisher_et_al
ENSG00000114739,True,Frontal Lobe,Fisher_et_al
ENSG00000125107,True,Frontal Lobe,Fisher_et_al
ENSG00000103342,True,Frontal Lobe,Fisher_et_al
ENSG00000109171,True,Frontal Lobe,Fisher_et_al
ENSG00000147526,True,Frontal Lobe,Fisher_et_al
ENSG00000113300,True,Frontal Lobe,Fisher_et_al
ENSG00000136144,True,Frontal Lobe,Fisher_et_al
ENSG00000152520,True,Frontal Lobe,Fisher_et_al
ENSG00000125676,True,Frontal Lobe,Fisher_et_al
ENSG00000167258,True,Frontal Lobe,Fisher_et_al
ENSG00000155545,True,Frontal Lobe,Fisher_et_al
ENSG00000168769,True,Frontal Lobe,Fisher_et_al
ENSG00000160208,True,Frontal Lobe,Fisher_et_al
ENSG00000144228,True,Frontal Lobe,Fisher_et_al
ENSG00000163946,True,Frontal Lobe,Fisher_et_al
ENSG00000183354,True,Frontal Lobe,Fisher_et_al
ENSG00000143322,True,Frontal Lobe,Fisher_et_al
ENSG00000186063,True,Frontal Lobe,Fisher_et_al
ENSG00000137942,True,Frontal Lobe,Fisher_et_al
ENSG00000134152,True,Frontal Lobe,Fisher_et_al
ENSG00000111877,True,Frontal Lobe,Fisher_et_al
ENSG00000106771,True,Frontal Lobe,Fisher_et_al
ENSG00000138613,True,Frontal Lobe,Fisher_et_al
ENSG00000132155,True,Frontal Lobe,Fisher_et_al
ENSG00000127481,True,Frontal Lobe,Fisher_et_al
ENSG00000088930,True,Frontal Lobe,Fisher_et_al
ENSG00000112739,True,Frontal Lobe,Fisher_et_al
ENSG00000172071,True,Frontal Lobe,Fisher_et_al
ENSG00000169155,True,Frontal Lobe,Fisher_et_al
ENSG00000275066,True,Frontal Lobe,Fisher_et_al
ENSG00000168137,True,Frontal Lobe,Fisher_et_al
ENSG00000173889,True,Frontal Lobe,Fisher_et_al
ENSG00000198646,True,Frontal Lobe,Fisher_et_al
ENSG00000178966,True,Frontal Lobe,Fisher_et_al
ENSG00000047346,True,Frontal Lobe,Fisher_et_al
ENSG00000005812,True,Frontal Lobe,Fisher_et_al
ENSG00000198795,True,Frontal Lobe,Fisher_et_al
ENSG00000089154,True,Frontal Lobe,Fisher_et_al
ENSG00000085185,True,Frontal Lobe,Fisher_et_al
ENSG00000124151,True,Frontal Lobe,Fisher_et_al
ENSG00000172845,True,Frontal Lobe,Fisher_et_al
ENSG00000144674,True,Frontal Lobe,Fisher_et_al
ENSG00000122482,True,Frontal Lobe,Fisher_et_al
ENSG00000166889,True,Frontal Lobe,Fisher_et_al
ENSG00000140948,True,Frontal Lobe,Fisher_et_al
ENSG00000100796,True,Frontal Lobe,Fisher_et_al
ENSG00000141441,True,Frontal Lobe,Fisher_et_al
ENSG00000156030,True,Frontal Lobe,Fisher_et_al
ENSG00000128923,True,Frontal Lobe,Fisher_et_al
ENSG00000115464,True,Frontal Lobe,Fisher_et_al
ENSG00000008405,True,Frontal Lobe,Fisher_et_al
ENSG00000074657,True,Frontal Lobe,Fisher_et_al
ENSG00000132549,True,Frontal Lobe,Fisher_et_al
ENSG00000089177,True,Frontal Lobe,Fisher_et_al
ENSG00000146247,True,Frontal Lobe,Fisher_et_al
ENSG00000165821,True,Frontal Lobe,Fisher_et_al
ENSG00000167785,True,Frontal Lobe,Fisher_et_al
ENSG00000112282,True,Frontal Lobe,Fisher_et_al
ENSG00000169967,True,Frontal Lobe,Fisher_et_al
ENSG00000137502,True,Frontal Lobe,Fisher_et_al
ENSG00000164190,True,Frontal Lobe,Fisher_et_al
ENSG00000135766,True,Frontal Lobe,Fisher_et_al
ENSG00000095564,True,Frontal Lobe,Fisher_et_al
ENSG00000205189,True,Frontal Lobe,Fisher_et_al
ENSG00000096717,True,Frontal Lobe,Fisher_et_al
ENSG00000112249,True,Frontal Lobe,Fisher_et_al
ENSG00000096968,True,Frontal Lobe,Fisher_et_al
ENSG00000008294,True,Frontal Lobe,Fisher_et_al
ENSG00000127804,True,Frontal Lobe,Fisher_et_al
ENSG00000100330,True,Frontal Lobe,Fisher_et_al
ENSG00000173517,True,Frontal Lobe,Fisher_et_al
ENSG00000122507,True,Frontal Lobe,Fisher_et_al
ENSG00000198799,True,Frontal Lobe,Fisher_et_al
ENSG00000168310,True,Frontal Lobe,Fisher_et_al
ENSG00000135052,True,Frontal Lobe,Fisher_et_al
ENSG00000147874,True,Frontal Lobe,Fisher_et_al
ENSG00000011258,True,Frontal Lobe,Fisher_et_al
ENSG00000125686,True,Frontal Lobe,Fisher_et_al
ENSG00000151503,True,Frontal Lobe,Fisher_et_al
ENSG00000164576,True,Frontal Lobe,Fisher_et_al
ENSG00000182985,True,Frontal Lobe,Fisher_et_al
ENSG00000005889,True,Frontal Lobe,Fisher_et_al
ENSG00000147408,True,Frontal Lobe,Fisher_et_al
ENSG00000173230,True,Frontal Lobe,Fisher_et_al
ENSG00000119285,True,Frontal Lobe,Fisher_et_al
ENSG00000077063,True,Frontal Lobe,Fisher_et_al
ENSG00000163605,True,Frontal Lobe,Fisher_et_al
ENSG00000163960,True,Frontal Lobe,Fisher_et_al
ENSG00000100485,True,Frontal Lobe,Fisher_et_al
ENSG00000197965,True,Frontal Lobe,Fisher_et_al
ENSG00000165156,True,Frontal Lobe,Fisher_et_al
ENSG00000147535,True,Frontal Lobe,Fisher_et_al
ENSG00000162695,True,Frontal Lobe,Fisher_et_al
ENSG00000137413,True,Frontal Lobe,Fisher_et_al
ENSG00000109118,True,Frontal Lobe,Fisher_et_al
ENSG00000114904,True,Frontal Lobe,Fisher_et_al
ENSG00000100227,True,Frontal Lobe,Fisher_et_al
ENSG00000125871,True,Frontal Lobe,Fisher_et_al
ENSG00000047578,True,Frontal Lobe,Fisher_et_al
ENSG00000163644,True,Frontal Lobe,Fisher_et_al
ENSG00000180357,True,Frontal Lobe,Fisher_et_al
ENSG00000154845,True,Frontal Lobe,Fisher_et_al
ENSG00000172466,True,Frontal Lobe,Fisher_et_al
ENSG00000123595,True,Frontal Lobe,Fisher_et_al
ENSG00000164741,True,Frontal Lobe,Fisher_et_al
ENSG00000072364,True,Frontal Lobe,Fisher_et_al
ENSG00000168795,True,Frontal Lobe,Fisher_et_al
ENSG00000119720,True,Frontal Lobe,Fisher_et_al
ENSG00000084676,True,Frontal Lobe,Fisher_et_al
ENSG00000107854,True,Frontal Lobe,Fisher_et_al
ENSG00000143515,True,Frontal Lobe,Fisher_et_al
ENSG00000115548,True,Frontal Lobe,Fisher_et_al
ENSG00000176018,True,Frontal Lobe,Fisher_et_al
ENSG00000127947,True,Frontal Lobe,Fisher_et_al
ENSG00000168763,True,Frontal Lobe,Fisher_et_al
ENSG00000164684,True,Frontal Lobe,Fisher_et_al
ENSG00000278129,True,Frontal Lobe,Fisher_et_al
ENSG00000143952,True,Frontal Lobe,Fisher_et_al
ENSG00000100644,True,Frontal Lobe,Fisher_et_al
ENSG00000166716,True,Frontal Lobe,Fisher_et_al
ENSG00000170542,True,Frontal Lobe,Fisher_et_al
ENSG00000163349,True,Frontal Lobe,Fisher_et_al
ENSG00000065135,True,Frontal Lobe,Fisher_et_al
ENSG00000114126,True,Frontal Lobe,Fisher_et_al
ENSG00000145431,True,Frontal Lobe,Fisher_et_al
ENSG00000123268,True,Frontal Lobe,Fisher_et_al
ENSG00000175970,True,Frontal Lobe,Fisher_et_al
ENSG00000138600,True,Frontal Lobe,Fisher_et_al
ENSG00000117461,True,Frontal Lobe,Fisher_et_al
ENSG00000137177,True,Frontal Lobe,Fisher_et_al
ENSG00000166225,True,Frontal Lobe,Fisher_et_al
ENSG00000100354,True,Frontal Lobe,Fisher_et_al
ENSG00000157106,True,Frontal Lobe,Fisher_et_al
ENSG00000124181,True,Frontal Lobe,Fisher_et_al
ENSG00000198887,True,Frontal Lobe,Fisher_et_al
ENSG00000131023,True,Frontal Lobe,Fisher_et_al
ENSG00000154727,True,Frontal Lobe,Fisher_et_al
ENSG00000157107,True,Frontal Lobe,Fisher_et_al
ENSG00000177125,True,Frontal Lobe,Fisher_et_al
ENSG00000159140,True,Frontal Lobe,Fisher_et_al
ENSG00000172766,True,Frontal Lobe,Fisher_et_al
ENSG00000145375,True,Frontal Lobe,Fisher_et_al
ENSG00000159658,True,Frontal Lobe,Fisher_et_al
ENSG00000128791,True,Frontal Lobe,Fisher_et_al
ENSG00000110395,True,Frontal Lobe,Fisher_et_al
ENSG00000147853,True,Frontal Lobe,Fisher_et_al
ENSG00000140526,True,Frontal Lobe,Fisher_et_al
ENSG00000076108,True,Frontal Lobe,Fisher_et_al
ENSG00000125124,True,Frontal Lobe,Fisher_et_al
ENSG00000155561,True,Frontal Lobe,Fisher_et_al
ENSG00000141646,True,Frontal Lobe,Fisher_et_al
ENSG00000177311,True,Frontal Lobe,Fisher_et_al
ENSG00000197020,True,Frontal Lobe,Fisher_et_al
ENSG00000188994,True,Frontal Lobe,Fisher_et_al
ENSG00000153944,True,Frontal Lobe,Fisher_et_al
ENSG00000100503,True,Frontal Lobe,Fisher_et_al
ENSG00000162415,True,Frontal Lobe,Fisher_et_al
ENSG00000101040,True,Frontal Lobe,Fisher_et_al
ENSG00000146278,True,Frontal Lobe,Fisher_et_al
ENSG00000184304,True,Frontal Lobe,Fisher_et_al
ENSG00000196782,True,Frontal Lobe,Fisher_et_al
ENSG00000009413,True,Frontal Lobe,Fisher_et_al
ENSG00000180370,True,Frontal Lobe,Fisher_et_al
ENSG00000178607,True,Frontal Lobe,Fisher_et_al
ENSG00000143337,True,Frontal Lobe,Fisher_et_al
ENSG00000172888,True,Frontal Lobe,Fisher_et_al
ENSG00000104067,True,Frontal Lobe,Fisher_et_al
ENSG00000162402,True,Frontal Lobe,Fisher_et_al
ENSG00000188786,True,Frontal Lobe,Fisher_et_al
ENSG00000139921,True,Frontal Lobe,Fisher_et_al
ENSG00000111666,True,Frontal Lobe,Fisher_et_al
ENSG00000166822,True,Frontal Lobe,Fisher_et_al
ENSG00000148737,True,Frontal Lobe,Fisher_et_al
ENSG00000189079,True,Frontal Lobe,Fisher_et_al
ENSG00000165406,True,Frontal Lobe,Fisher_et_al
ENSG00000134744,True,Frontal Lobe,Fisher_et_al
ENSG00000176624,True,Frontal Lobe,Fisher_et_al
ENSG00000163625,True,Frontal Lobe,Fisher_et_al
ENSG00000140299,True,Frontal Lobe,Fisher_et_al
ENSG00000163428,True,Frontal Lobe,Fisher_et_al
ENSG00000133639,True,Frontal Lobe,Fisher_et_al
ENSG00000130449,True,Frontal Lobe,Fisher_et_al
ENSG00000156172,True,Frontal Lobe,Fisher_et_al
ENSG00000148730,True,Frontal Lobe,Fisher_et_al
ENSG00000268043,True,Frontal Lobe,Fisher_et_al
ENSG00000154124,True,Frontal Lobe,Fisher_et_al
ENSG00000106780,True,Frontal Lobe,Fisher_et_al
ENSG00000100154,True,Frontal Lobe,Fisher_et_al
ENSG00000073614,True,Frontal Lobe,Fisher_et_al
ENSG00000101972,True,Frontal Lobe,Fisher_et_al
ENSG00000101367,True,Frontal Lobe,Fisher_et_al
ENSG00000198363,True,Frontal Lobe,Fisher_et_al
ENSG00000167202,True,Frontal Lobe,Fisher_et_al
ENSG00000005339,True,Frontal Lobe,Fisher_et_al
ENSG00000047365,True,Frontal Lobe,Fisher_et_al
ENSG00000122707,True,Frontal Lobe,Fisher_et_al
ENSG00000131115,True,Frontal Lobe,Fisher_et_al
ENSG00000145907,True,Frontal Lobe,Fisher_et_al
ENSG00000054523,True,Frontal Lobe,Fisher_et_al
ENSG00000204138,True,Frontal Lobe,Fisher_et_al
ENSG00000012983,True,Frontal Lobe,Fisher_et_al
ENSG00000175895,True,Frontal Lobe,Fisher_et_al
ENSG00000083312,True,Frontal Lobe,Fisher_et_al
ENSG00000137478,True,Frontal Lobe,Fisher_et_al
ENSG00000153922,True,Frontal Lobe,Fisher_et_al
ENSG00000147324,True,Frontal Lobe,Fisher_et_al
ENSG00000109787,True,Frontal Lobe,Fisher_et_al
ENSG00000151422,True,Frontal Lobe,Fisher_et_al
ENSG00000114127,True,Frontal Lobe,Fisher_et_al
ENSG00000101493,True,Frontal Lobe,Fisher_et_al
ENSG00000186918,True,Frontal Lobe,Fisher_et_al
ENSG00000108510,True,Frontal Lobe,Fisher_et_al
ENSG00000126804,True,Frontal Lobe,Fisher_et_al
ENSG00000112029,True,Frontal Lobe,Fisher_et_al
ENSG00000173402,True,Frontal Lobe,Fisher_et_al
ENSG00000097033,True,Frontal Lobe,Fisher_et_al
ENSG00000072501,True,Frontal Lobe,Fisher_et_al
ENSG00000123636,True,Frontal Lobe,Fisher_et_al
ENSG00000186300,True,Frontal Lobe,Fisher_et_al
ENSG00000105856,True,Frontal Lobe,Fisher_et_al
ENSG00000174740,True,Frontal Lobe,Fisher_et_al
ENSG00000135338,True,Frontal Lobe,Fisher_et_al
ENSG00000103479,True,Frontal Lobe,Fisher_et_al
ENSG00000109320,True,Frontal Lobe,Fisher_et_al
ENSG00000114331,True,Frontal Lobe,Fisher_et_al
ENSG00000139946,True,Frontal Lobe,Fisher_et_al
ENSG00000271601,True,Frontal Lobe,Fisher_et_al
ENSG00000133401,True,Frontal Lobe,Fisher_et_al
ENSG00000148143,True,Frontal Lobe,Fisher_et_al
ENSG00000196865,True,Frontal Lobe,Fisher_et_al
ENSG00000167978,True,Frontal Lobe,Fisher_et_al
ENSG00000164291,True,Frontal Lobe,Fisher_et_al
ENSG00000170677,True,Frontal Lobe,Fisher_et_al
ENSG00000198315,True,Frontal Lobe,Fisher_et_al
ENSG00000114796,True,Frontal Lobe,Fisher_et_al
ENSG00000110422,True,Frontal Lobe,Fisher_et_al
ENSG00000182263,True,Frontal Lobe,Fisher_et_al
ENSG00000186298,True,Frontal Lobe,Fisher_et_al
ENSG00000172671,True,Frontal Lobe,Fisher_et_al
ENSG00000106351,True,Frontal Lobe,Fisher_et_al
ENSG00000119950,True,Frontal Lobe,Fisher_et_al
ENSG00000170836,True,Frontal Lobe,Fisher_et_al
ENSG00000088888,True,Frontal Lobe,Fisher_et_al
ENSG00000157514,True,Frontal Lobe,Fisher_et_al
ENSG00000119729,True,Frontal Lobe,Fisher_et_al
ENSG00000053254,True,Frontal Lobe,Fisher_et_al
ENSG00000078114,True,Frontal Lobe,Fisher_et_al
ENSG00000144677,True,Frontal Lobe,Fisher_et_al
ENSG00000114439,True,Frontal Lobe,Fisher_et_al
ENSG00000118762,True,Frontal Lobe,Fisher_et_al
ENSG00000143815,True,Frontal Lobe,Fisher_et_al
ENSG00000065526,True,Frontal Lobe,Fisher_et_al
ENSG00000000003,True,Frontal Lobe,Fisher_et_al
ENSG00000197442,True,Frontal Lobe,Fisher_et_al
ENSG00000133789,True,Frontal Lobe,Fisher_et_al
ENSG00000189221,True,Frontal Lobe,Fisher_et_al
ENSG00000185591,True,Frontal Lobe,Fisher_et_al
ENSG00000104517,True,Frontal Lobe,Fisher_et_al
ENSG00000184634,True,Frontal Lobe,Fisher_et_al
ENSG00000174718,True,Frontal Lobe,Fisher_et_al
ENSG00000116497,True,Frontal Lobe,Fisher_et_al
ENSG00000129675,True,Frontal Lobe,Fisher_et_al
ENSG00000256229,True,Frontal Lobe,Fisher_et_al
ENSG00000085719,True,Frontal Lobe,Fisher_et_al
ENSG00000078549,True,Frontal Lobe,Fisher_et_al
ENSG00000135048,True,Frontal Lobe,Fisher_et_al
ENSG00000113211,True,Frontal Lobe,Fisher_et_al
ENSG00000095015,True,Frontal Lobe,Fisher_et_al
ENSG00000070778,True,Frontal Lobe,Fisher_et_al
ENSG00000057252,True,Frontal Lobe,Fisher_et_al
ENSG00000136044,True,Frontal Lobe,Fisher_et_al
ENSG00000157827,True,Frontal Lobe,Fisher_et_al
ENSG00000134324,True,Frontal Lobe,Fisher_et_al
ENSG00000119778,True,Frontal Lobe,Fisher_et_al
ENSG00000118007,True,Frontal Lobe,Fisher_et_al
ENSG00000180008,True,Frontal Lobe,Fisher_et_al
ENSG00000185278,True,Frontal Lobe,Fisher_et_al
ENSG00000156273,True,Frontal Lobe,Fisher_et_al
ENSG00000152558,True,Frontal Lobe,Fisher_et_al
ENSG00000070018,True,Frontal Lobe,Fisher_et_al
ENSG00000048028,True,Frontal Lobe,Fisher_et_al
ENSG00000123080,True,Frontal Lobe,Fisher_et_al
ENSG00000091436,True,Frontal Lobe,Fisher_et_al
ENSG00000140455,True,Frontal Lobe,Fisher_et_al
ENSG00000184486,True,Frontal Lobe,Fisher_et_al
ENSG00000161791,True,Frontal Lobe,Fisher_et_al
ENSG00000196586,True,Frontal Lobe,Fisher_et_al
ENSG00000107554,True,Frontal Lobe,Fisher_et_al
ENSG00000139132,True,Frontal Lobe,Fisher_et_al
ENSG00000115318,True,Frontal Lobe,Fisher_et_al
ENSG00000146263,True,Frontal Lobe,Fisher_et_al
ENSG00000149639,True,Frontal Lobe,Fisher_et_al
ENSG00000168461,True,Frontal Lobe,Fisher_et_al
ENSG00000058866,True,Frontal Lobe,Fisher_et_al
ENSG00000174032,True,Frontal Lobe,Fisher_et_al
ENSG00000083067,True,Frontal Lobe,Fisher_et_al
ENSG00000092531,True,Frontal Lobe,Fisher_et_al
ENSG00000163820,True,Frontal Lobe,Fisher_et_al
ENSG00000170759,True,Frontal Lobe,Fisher_et_al
ENSG00000030066,True,Frontal Lobe,Fisher_et_al
ENSG00000082781,True,Frontal Lobe,Fisher_et_al
ENSG00000165288,True,Frontal Lobe,Fisher_et_al
ENSG00000263002,True,Frontal Lobe,Fisher_et_al
ENSG00000273274,True,Frontal Lobe,Fisher_et_al
ENSG00000175215,True,Frontal Lobe,Fisher_et_al
ENSG00000134352,True,Frontal Lobe,Fisher_et_al
ENSG00000169105,True,Frontal Lobe,Fisher_et_al
ENSG00000162433,True,Frontal Lobe,Fisher_et_al
ENSG00000107779,True,Frontal Lobe,Fisher_et_al
ENSG00000123191,True,Frontal Lobe,Fisher_et_al
ENSG00000148411,True,Frontal Lobe,Fisher_et_al
ENSG00000116044,True,Frontal Lobe,Fisher_et_al
ENSG00000080839,True,Frontal Lobe,Fisher_et_al
ENSG00000138756,True,Frontal Lobe,Fisher_et_al
ENSG00000105854,True,Frontal Lobe,Fisher_et_al
ENSG00000164938,True,Frontal Lobe,Fisher_et_al
ENSG00000133138,True,Frontal Lobe,Fisher_et_al
ENSG00000165458,True,Frontal Lobe,Fisher_et_al
ENSG00000128585,True,Frontal Lobe,Fisher_et_al
ENSG00000065243,True,Frontal Lobe,Fisher_et_al
ENSG00000140262,True,Frontal Lobe,Fisher_et_al
ENSG00000114166,True,Frontal Lobe,Fisher_et_al
ENSG00000133065,True,Frontal Lobe,Fisher_et_al
ENSG00000102547,True,Frontal Lobe,Fisher_et_al
ENSG00000104219,True,Frontal Lobe,Fisher_et_al
ENSG00000151208,True,Frontal Lobe,Fisher_et_al
ENSG00000106799,True,Frontal Lobe,Fisher_et_al
ENSG00000100852,True,Frontal Lobe,Fisher_et_al
ENSG00000139350,True,Frontal Lobe,Fisher_et_al
ENSG00000180801,True,Frontal Lobe,Fisher_et_al
ENSG00000081818,True,Frontal Lobe,Fisher_et_al
ENSG00000143970,True,Frontal Lobe,Fisher_et_al
ENSG00000144847,True,Frontal Lobe,Fisher_et_al
ENSG00000143384,True,Frontal Lobe,Fisher_et_al
ENSG00000100393,True,Frontal Lobe,Fisher_et_al
ENSG00000144445,True,Frontal Lobe,Fisher_et_al
ENSG00000055208,True,Frontal Lobe,Fisher_et_al
ENSG00000179604,True,Frontal Lobe,Fisher_et_al
ENSG00000183864,True,Frontal Lobe,Fisher_et_al
ENSG00000003402,True,Frontal Lobe,Fisher_et_al
ENSG00000198087,True,Frontal Lobe,Fisher_et_al
ENSG00000166801,True,Frontal Lobe,Fisher_et_al
ENSG00000147027,True,Frontal Lobe,Fisher_et_al
ENSG00000079691,True,Frontal Lobe,Fisher_et_al
ENSG00000011405,True,Frontal Lobe,Fisher_et_al
ENSG00000135540,True,Frontal Lobe,Fisher_et_al
ENSG00000079482,True,Frontal Lobe,Fisher_et_al
ENSG00000133812,True,Frontal Lobe,Fisher_et_al
ENSG00000143842,True,Frontal Lobe,Fisher_et_al
ENSG00000174306,True,Frontal Lobe,Fisher_et_al
ENSG00000027075,True,Frontal Lobe,Fisher_et_al
ENSG00000169439,True,Frontal Lobe,Fisher_et_al
ENSG00000173821,True,Frontal Lobe,Fisher_et_al
ENSG00000132825,True,Frontal Lobe,Fisher_et_al
ENSG00000158186,True,Frontal Lobe,Fisher_et_al
ENSG00000145685,True,Frontal Lobe,Fisher_et_al
ENSG00000044459,True,Frontal Lobe,Fisher_et_al
ENSG00000184005,True,Frontal Lobe,Fisher_et_al
ENSG00000176105,True,Frontal Lobe,Fisher_et_al
ENSG00000106080,True,Frontal Lobe,Fisher_et_al
ENSG00000130287,True,Frontal Lobe,Fisher_et_al
ENSG00000115183,True,Frontal Lobe,Fisher_et_al
ENSG00000128849,True,Frontal Lobe,Fisher_et_al
ENSG00000166263,True,Frontal Lobe,Fisher_et_al
ENSG00000163297,True,Frontal Lobe,Fisher_et_al
ENSG00000196247,True,Frontal Lobe,Fisher_et_al
ENSG00000137076,True,Frontal Lobe,Fisher_et_al
ENSG00000112333,True,Frontal Lobe,Fisher_et_al
ENSG00000126016,True,Frontal Lobe,Fisher_et_al
ENSG00000143409,True,Frontal Lobe,Fisher_et_al
ENSG00000146005,True,Frontal Lobe,Fisher_et_al
ENSG00000166341,True,Frontal Lobe,Fisher_et_al
ENSG00000162738,True,Frontal Lobe,Fisher_et_al
ENSG00000134376,True,Frontal Lobe,Fisher_et_al
